surgery,age,tempRectal,pulse,respiratoryRate,tempExtrem,pulsePeripheral,mucousMembranes,capilaryRefillTime,pain,peristalsis,abdominalDistension,nasogastricTube,nasogastricReflux,rectalExamination,abdomen,cellVolume,totalProtein,surgicalLesion,pathologyData,lesionSite,lesionType,lesionSubtype,lesionCode,outcome,tempRectalMissing,pulseMissing,respiratoryRateMissing,tempExtremMissing,pulsePeripheralMissing,mucousMembranesMissing,capilaryRefillTimeMissing,painMissing,peristalsisMissing,abdominalDistensionMissing,nasogastricTubeMissing,nasogastricRefluxMissing,rectalExaminationMissing,abdomenMissing,cellVolumeMissing,totalProteinMissing,tempRectalDiscr,pulseDiscr,respiratoryRateDiscr,cellVolumeDiscr,totalProteinDiscr,tempExtrem_cold,tempExtrem_cool,tempExtrem_normal,tempExtrem_warm,pulsePeripheral_absent,pulsePeripheral_increased,pulsePeripheral_normal,pulsePeripheral_reduced,mucousMembranes_brightPink,mucousMembranes_brightRedInjected,mucousMembranes_darkCyanotic,mucousMembranes_normalPink,mucousMembranes_paleCyanotic,mucousMembranes_palePink,pain_alert,pain_continuousSevere,pain_depressed,pain_intermittentMild,pain_intermittentSevere,peristalsis_absent,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,abdominalDistension_moderate,abdominalDistension_none,abdominalDistension_severe,abdominalDistension_slight,nasogastricTube_none,nasogastricTube_significant,nasogastricTube_slight,nasogastricReflux_<1liter,nasogastricReflux_>1liter,nasogastricReflux_none,rectalExamination_absent,rectalExamination_decreased,rectalExamination_increased,rectalExamination_normal,abdomen_distendedLarge,abdomen_distendedSmall,abdomen_firmFecesLarge,abdomen_normal,abdomen_other,lesionSite_allIntestinalSites,lesionSite_bladder,lesionSite_cecum,lesionSite_colon,lesionSite_colonCecum,lesionSite_colonDescending,lesionSite_colonTransverse,lesionSite_gastric,lesionSite_intestine,lesionSite_none,lesionSite_uterus,lesionType_inflamation,lesionType_none,lesionType_other,lesionType_simple,lesionType_strangulation,lesionSubtype_mechanical,lesionSubtype_none,lesionSubtype_paralytic,lesionCode_adynamic,lesionCode_displacement,lesionCode_extrinsic,lesionCode_hernia,lesionCode_intrinsic,lesionCode_intussuption,lesionCode_lipoma,lesionCode_none,lesionCode_obturation,lesionCode_thromboembolic,lesionCode_torsion,outcome_died,outcome_euthanized,outcome_lived
no,adult,-0.741319133668114,-1.1497161998957635,-0.8474715157423722,normal,normal,normalPink,<3,intermittentMild,normal,none,none,none,decreased,firmFecesLarge,-1.0805802309675778,-0.7989835237576959,no,no,none,other,none,none,lived,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low,low,low,low,low,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,0.21340199038112453,0.28027015091417945,0.5800703840472027,cool,reduced,paleCyanotic,>=3,continuousSevere,absent,moderate,slight,none,absent,distendedSmall,-0.015469720735392947,-0.6453180211664045,yes,yes,colon,strangulation,none,lipoma,lived,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,normal,normal,normal,low,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
yes,adult,1.4863634891134614,-0.434723024490792,-2.173528928483242,cool,normal,normalPink,<3,depressed,hypomotile,moderate,none,<1liter,absent,distendedSmall,-0.005106761712749461,0.2920415446404726,yes,no,intestine,simple,mechanical,extrinsic,lived,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,high,low,low,normal,normal,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
no,adult,-1.059559508351201,-1.006717564814769,-0.1500972399269449,normal,normal,normalPink,<3,intermittentMild,hypomotile,slight,none,none,decreased,distendedLarge,-0.015469720735392947,-0.7106258597677033,no,yes,colon,simple,mechanical,obturation,lived,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,low,low,normal,normal,low,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
yes,adult,-0.4230787589850382,2.4252496771290937,0.9584997654095971,cool,reduced,paleCyanotic,>=3,continuousSevere,absent,severe,none,none,absent,distendedLarge,-1.986112423176472,1.7172890811746997,no,no,colonTransverse,simple,mechanical,intrinsic,died,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,normal,high,high,low,high,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
no,adult,-0.5821989463265818,-1.0782168823552662,0.8577656996345353,normal,normal,normalPink,<3,alert,hypomotile,none,slight,none,decreased,firmFecesLarge,-1.0805802309675778,-0.6952593095085742,no,no,colonCecum,simple,paralytic,adynamic,lived,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,normal,low,high,low,low,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
no,adult,0.21340199038112453,-0.9709679060445205,-0.61623981650963,cool,reduced,brightPink,>=3,depressed,absent,none,slight,none,absent,firmFecesLarge,-0.8182115367139827,0.28051663194612586,no,no,none,none,none,none,lived,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,normal,low,normal,low,normal,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,-1.059559508351201,0.566267421076168,-0.61623981650963,warm,reduced,palePink,<3,intermittentSevere,hypomotile,moderate,none,none,normal,distendedLarge,-1.21838968918518,-0.6875760343790095,yes,no,intestine,strangulation,none,torsion,died,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,low,normal,normal,low,low,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
no,adult,0.21340199038112453,-1.006717564814769,1.6831848471498374,normal,normal,normalPink,<3,alert,hypomotile,none,slight,none,normal,firmFecesLarge,-11.109537018709716,0.44954868479654625,yes,no,none,none,none,none,lived,no,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,normal,low,high,low,normal,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
no,adult,0.054281803039592326,-0.434723024490792,-0.22063959918589865,cool,normal,palePink,>=3,intermittentMild,hypomotile,slight,significant,<1liter,absent,distendedSmall,0.7364728398258341,-0.6453180211664045,no,yes,gastric,simple,paralytic,adynamic,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,high,low,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
yes,adult,-1.6960402577173637,-0.434723024490792,-0.61623981650963,warm,normal,paleCyanotic,<3,intermittentMild,absent,moderate,none,>1liter,decreased,distendedSmall,1.5737150912148163,-0.6069016455185816,yes,yes,colonDescending,simple,mechanical,obturation,lived,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,low,low,normal,high,low,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
yes,adult,1.3272433017719178,1.7102565017241222,0.5132248032568189,cold,reduced,brightRedInjected,>=3,depressed,absent,moderate,slight,<1liter,absent,distendedSmall,1.641177619559441,-0.6184265582129286,no,no,cecum,simple,mechanical,none,lived,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,high,high,normal,high,low,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
no,adult,-0.4230787589850382,-0.9709679060445205,0.6389002381374747,cool,reduced,palePink,>=3,depressed,hypomotile,none,slight,none,decreased,distendedLarge,-1.508699906684141,-0.7144674973324856,yes,yes,intestine,strangulation,none,torsion,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,normal,low,normal,low,low,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
no,adult,-0.2639585716434947,-0.5777216595717862,1.0541845309335935,cool,reduced,palePink,>=3,depressed,hypermotile,none,slight,none,absent,firmFecesLarge,0.18672182104553078,1.7557054568225225,no,no,none,none,none,none,lived,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,normal,low,high,normal,high,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,0.37252217772266805,0.8665645547462563,0.7459687670568468,cold,reduced,darkCyanotic,>=3,depressed,absent,none,slight,none,absent,distendedLarge,0.8208450497940408,1.9862037107094594,yes,no,uterus,other,none,torsion,lived,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,normal,normal,high,high,high,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
yes,adult,0.054281803039592326,-0.434723024490792,-0.49947363823056456,normal,normal,palePink,<3,depressed,hypermotile,none,none,none,absent,distendedSmall,-0.22870670244028438,-0.6952593095085742,yes,yes,intestine,strangulation,none,intussuption,lived,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,normal,low,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
yes,adult,0.054281803039592326,-0.434723024490792,0.8577656996345353,cool,normal,normalPink,<3,depressed,absent,moderate,significant,>1liter,absent,distendedLarge,-0.339823211332199,1.8325382081181683,yes,no,colon,simple,mechanical,obturation,lived,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,normal,low,high,normal,high,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
no,adult,-0.2639585716434947,-1.0782168823552662,-1.7555766858456436,cool,normal,palePink,<3,alert,hypermotile,none,slight,none,decreased,normal,-0.9472752294366971,-0.7106258597677033,no,no,colon,simple,mechanical,obturation,lived,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,normal,low,low,low,low,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
no,adult,-1.6960402577173637,1.4957585491026308,0.8577656996345353,cool,reduced,palePink,>=3,depressed,normal,none,slight,none,absent,firmFecesLarge,-1.6618620127173636,0.3880824837600297,no,no,none,other,none,none,lived,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,low,high,high,low,normal,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,2.4410846131627113,0.9952633263191509,0.25581679193687595,cold,reduced,darkCyanotic,>=3,intermittentSevere,absent,moderate,none,<1liter,absent,distendedLarge,1.641177619559441,1.9477873350616366,yes,no,colon,strangulation,none,torsion,euthanized,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,high,normal,normal,high,high,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
yes,adult,-0.4230787589850382,1.7102565017241222,1.6831848471498374,cool,reduced,palePink,<3,continuousSevere,absent,severe,slight,>1liter,absent,distendedLarge,0.6501746667545668,-0.6798927592494451,yes,yes,colon,strangulation,none,torsion,died,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,high,high,high,low,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
yes,adult,-2.49164119442507,-0.8637189297337748,-1.1082638226180797,cool,normal,palePink,<3,intermittentSevere,hypermotile,none,none,none,decreased,distendedLarge,-2.5243568343195264,1.217876197753003,yes,no,colonCecum,strangulation,none,intussuption,euthanized,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low,low,low,low,high,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
no,adult,-0.9004393210096575,0.566267421076168,0.6389002381374747,cool,normal,normalPink,<3,intermittentMild,hypomotile,slight,none,<1liter,absent,distendedLarge,-0.12063891995856849,-0.7029425846381387,yes,no,intestine,simple,mechanical,intrinsic,died,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low,normal,normal,normal,low,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
no,adult,0.6907625524057551,-0.434723024490792,0.25581679193687595,normal,normal,palePink,<3,intermittentSevere,normal,slight,none,none,decreased,distendedLarge,-0.5718621475111355,-0.7029425846381387,yes,no,colon,strangulation,none,torsion,lived,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,normal,low,normal,normal,low,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
yes,adult,0.21340199038112453,-0.22022507186930054,0.25581679193687595,warm,reduced,normalPink,<3,depressed,absent,moderate,significant,>1liter,absent,distendedLarge,-0.9472752294366971,-0.7029425846381387,yes,no,cecum,simple,mechanical,obturation,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,low,low,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
no,adult,-0.5821989463265818,-0.8637189297337748,-1.1082638226180797,normal,normal,normalPink,<3,intermittentMild,hypermotile,none,slight,none,absent,firmFecesLarge,-0.22870670244028438,-0.6453180211664045,no,no,none,none,none,none,lived,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,normal,low,low,normal,low,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
