surgery,age,tempRectal,pulse,respiratoryRate,tempExtrem,pulsePeripheral,mucousMembranes,capilaryRefillTime,pain,peristalsis,abdominalDistension,nasogastricTube,nasogastricReflux,rectalExamination,abdomen,cellVolume,totalProtein,surgicalLesion,pathologyData,lesionSite,lesionType,lesionSubtype,lesionCode,outcome,tempRectalMissing,pulseMissing,respiratoryRateMissing,tempExtremMissing,pulsePeripheralMissing,mucousMembranesMissing,capilaryRefillTimeMissing,painMissing,peristalsisMissing,abdominalDistensionMissing,nasogastricTubeMissing,nasogastricRefluxMissing,rectalExaminationMissing,abdomenMissing,cellVolumeMissing,totalProteinMissing,tempRectalDiscr,pulseDiscr,respiratoryRateDiscr,cellVolumeDiscr,totalProteinDiscr,tempExtrem_cold,tempExtrem_cool,tempExtrem_normal,tempExtrem_warm,pulsePeripheral_absent,pulsePeripheral_increased,pulsePeripheral_normal,pulsePeripheral_reduced,mucousMembranes_brightPink,mucousMembranes_brightRedInjected,mucousMembranes_darkCyanotic,mucousMembranes_normalPink,mucousMembranes_paleCyanotic,mucousMembranes_palePink,pain_alert,pain_continuousSevere,pain_depressed,pain_intermittentMild,pain_intermittentSevere,peristalsis_absent,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,abdominalDistension_moderate,abdominalDistension_none,abdominalDistension_severe,abdominalDistension_slight,nasogastricTube_none,nasogastricTube_significant,nasogastricTube_slight,nasogastricReflux_<1liter,nasogastricReflux_>1liter,nasogastricReflux_none,rectalExamination_absent,rectalExamination_decreased,rectalExamination_increased,rectalExamination_normal,abdomen_distendedLarge,abdomen_distendedSmall,abdomen_firmFecesLarge,abdomen_normal,abdomen_other,lesionSite_allIntestinalSites,lesionSite_bladder,lesionSite_cecum,lesionSite_colon,lesionSite_colonCecum,lesionSite_colonDescending,lesionSite_colonTransverse,lesionSite_gastric,lesionSite_intestine,lesionSite_none,lesionSite_uterus,lesionType_inflamation,lesionType_none,lesionType_other,lesionType_simple,lesionType_strangulation,lesionSubtype_mechanical,lesionSubtype_none,lesionSubtype_paralytic,lesionCode_adynamic,lesionCode_displacement,lesionCode_extrinsic,lesionCode_hernia,lesionCode_intrinsic,lesionCode_intussuption,lesionCode_lipoma,lesionCode_none,lesionCode_obturation,lesionCode_thromboembolic,lesionCode_torsion,outcome_died,outcome_euthanized,outcome_lived
yes,young,1.0090029270888308,1.8532551368051167,0.6389002381374747,cool,normal,brightPink,<3,depressed,hypomotile,severe,none,none,absent,distendedSmall,0.4714660441306643,-0.6414763836016223,yes,yes,intestine,strangulation,none,hernia,died,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,normal,normal,low,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
yes,adult,-1.5369200703758201,-0.434723024490792,0.18397215351640814,warm,normal,normalPink,<3,intermittentMild,hypomotile,moderate,slight,none,absent,distendedLarge,-0.22870670244028438,-0.6798927592494451,yes,no,intestine,strangulation,none,lipoma,lived,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,low,low,normal,normal,low,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
yes,adult,-0.10483838430195119,-0.7207202946527805,-0.22063959918589865,normal,normal,brightRedInjected,<3,intermittentSevere,hypomotile,none,slight,<1liter,normal,distendedSmall,0.8208450497940408,-0.6453180211664045,yes,yes,intestine,simple,mechanical,intrinsic,died,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,normal,low,normal,high,low,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
yes,young,1.0090029270888308,2.7827462648315797,1.315308458110335,normal,reduced,darkCyanotic,>=3,continuousSevere,hypomotile,slight,none,none,absent,distendedLarge,0.4714660441306643,-0.6952593095085742,yes,no,colonCecum,strangulation,none,thromboembolic,died,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,high,high,high,normal,low,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
yes,adult,0.054281803039592326,-0.07722643678830626,-1.1082638226180797,cool,absent,brightRedInjected,>=3,depressed,hypomotile,slight,slight,none,absent,distendedLarge,1.2906775426535595,-0.6453180211664045,yes,no,gastric,other,none,none,died,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,normal,low,high,low,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
no,adult,1.0090029270888308,-0.8637189297337748,0.8577656996345353,normal,normal,palePink,<3,intermittentMild,hypomotile,severe,slight,none,absent,distendedLarge,-0.4541501822517358,1.5636235785834083,yes,no,colonCecum,simple,paralytic,adynamic,lived,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,high,low,high,normal,high,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
no,adult,-0.2639585716434947,-1.1497161998957635,-0.1328451831566792,normal,normal,normalPink,<3,intermittentSevere,hypomotile,slight,none,none,absent,firmFecesLarge,-0.9472752294366971,1.7172890811746997,no,no,none,none,none,none,lived,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,normal,low,normal,low,high,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,-0.10483838430195119,-0.434723024490792,-0.61623981650963,cold,reduced,paleCyanotic,>=3,continuousSevere,absent,severe,significant,none,absent,distendedLarge,0.9358771810126018,0.29588318220525495,yes,no,colon,strangulation,none,torsion,euthanized,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,normal,low,normal,high,normal,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
yes,adult,0.21340199038112453,-0.434723024490792,0.25581679193687595,cool,reduced,paleCyanotic,>=3,continuousSevere,absent,severe,none,none,absent,distendedLarge,-0.015469720735392947,1.7557054568225225,yes,no,colonTransverse,simple,mechanical,obturation,lived,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,normal,low,normal,normal,high,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
yes,young,0.5316423650642116,1.7102565017241222,1.9900974041858668,cool,reduced,normalPink,<3,intermittentMild,hypermotile,moderate,slight,none,normal,distendedLarge,-1.21838968918518,1.1410434464573573,yes,no,colonCecum,strangulation,none,torsion,lived,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,normal,high,high,low,high,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
yes,adult,-1.5369200703758201,-1.1497161998957635,-0.61623981650963,normal,normal,normalPink,<3,intermittentMild,hypomotile,none,slight,none,absent,normal,-1.0805802309675778,1.4483744516399397,no,no,colonTransverse,simple,mechanical,intrinsic,euthanized,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,low,low,normal,low,high,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
no,adult,0.37252217772266805,1.7102565017241222,0.2838338331659692,cold,reduced,paleCyanotic,>=3,continuousSevere,absent,severe,none,none,absent,distendedLarge,1.2906775426535595,-0.6837343968142273,yes,no,colon,strangulation,none,torsion,died,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,high,normal,high,low,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
yes,adult,-0.5821989463265818,-0.8637189297337748,-1.7555766858456436,cool,normal,normalPink,<3,intermittentMild,hypomotile,slight,none,none,normal,firmFecesLarge,-0.9472752294366971,-0.7221507724620502,no,yes,colonCecum,simple,paralytic,intrinsic,lived,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,normal,low,low,low,low,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
no,adult,0.054281803039592326,-0.5777216595717862,0.8577656996345353,cold,reduced,normalPink,<3,depressed,absent,moderate,slight,>1liter,absent,distendedLarge,0.18672182104553078,-0.6568429338607513,no,yes,uterus,inflamation,none,none,lived,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,normal,low,high,normal,low,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,0.054281803039592326,-0.434723024490792,0.25581679193687595,normal,normal,palePink,<3,intermittentMild,hypomotile,none,slight,none,decreased,other,0.2839955108161247,1.6020399542312311,yes,no,colonTransverse,simple,mechanical,intrinsic,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,normal,high,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
no,adult,-0.2639585716434947,-0.5777216595717862,-0.14145251665776726,normal,increased,palePink,<3,alert,hypermotile,none,none,none,normal,normal,-0.339823211332199,1.7941218324703454,no,no,none,none,none,none,lived,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,normal,high,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,-1.6960402577173637,-1.1497161998957635,-2.693353053393361,normal,normal,paleCyanotic,<3,intermittentMild,hypomotile,none,none,none,decreased,firmFecesLarge,-3.3651246000786013,-0.6760511216846627,yes,yes,colon,simple,none,extrinsic,lived,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,low,low,low,low,low,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
yes,adult,0.37252217772266805,0.7092660561571623,-0.61623981650963,normal,reduced,brightRedInjected,>=3,intermittentSevere,hypomotile,moderate,slight,<1liter,normal,distendedSmall,1.363509395898082,-0.476285968315984,yes,yes,intestine,strangulation,none,hernia,lived,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,normal,normal,normal,high,low,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
no,adult,0.6907625524057551,-0.14872575432880342,-0.61623981650963,warm,normal,palePink,<3,intermittentMild,hypomotile,slight,none,none,normal,distendedLarge,-0.8182115367139827,-0.6837343968142273,no,yes,cecum,simple,paralytic,adynamic,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
no,adult,-0.4230787589850382,0.03717247127648927,0.15448233806477468,cool,reduced,normalPink,<3,continuousSevere,hypomotile,moderate,none,none,absent,distendedLarge,-0.8182115367139827,-0.6837343968142273,yes,no,colon,strangulation,none,torsion,died,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,normal,normal,low,low,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
no,adult,0.21340199038112453,-0.434723024490792,-0.61623981650963,normal,normal,normalPink,>=3,alert,hypomotile,none,none,none,decreased,normal,-1.3609912052959852,1.6020399542312311,no,no,none,none,none,none,lived,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,normal,low,normal,low,high,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yes,adult,-1.377799883034288,-0.8637189297337748,-0.61623981650963,normal,normal,brightPink,<3,intermittentMild,hypomotile,moderate,slight,none,decreased,distendedLarge,-0.4541501822517358,1.7172890811746997,yes,no,colon,strangulation,none,torsion,lived,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,low,low,normal,normal,high,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
yes,adult,0.6907625524057551,-1.0782168823552662,0.5193977408511014,warm,normal,paleCyanotic,<3,depressed,hypomotile,none,slight,none,normal,other,0.2839955108161247,-0.6568429338607513,yes,no,colon,simple,mechanical,obturation,lived,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,normal,low,normal,normal,low,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
yes,adult,0.21340199038112453,-0.7207202946527805,0.06326767334784181,cool,reduced,palePink,<3,intermittentMild,hypomotile,moderate,none,none,normal,distendedLarge,-0.22870670244028438,-0.6991009470733566,yes,yes,colon,strangulation,none,lipoma,lived,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,normal,low,normal,normal,low,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
yes,adult,0.054281803039592326,-0.8637189297337748,0.10940244178291668,normal,reduced,palePink,<3,intermittentMild,absent,severe,none,<1liter,absent,distendedLarge,-0.339823211332199,1.7941218324703454,yes,no,colon,simple,mechanical,obturation,lived,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,normal,low,normal,normal,high,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
yes,adult,-0.9004393210096575,-0.29172438940979767,-0.5098141199174625,normal,normal,brightPink,<3,depressed,hypomotile,none,none,none,increased,distendedLarge,-0.5718621475111355,-0.6645262089903159,yes,yes,colonCecum,strangulation,none,torsion,lived,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,low,low,normal,normal,low,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
